Service,Title,Language,Variant,Date,Size,Link
Reference,Wikipedia,English,All Maxi,2023-11,109.000 GB,https://download.kiwix.org/zim/wikipedia/wikipedia_en_all_maxi_2023-11.zim
Reference,Wiktionary,English,All Maxi,2023-10,60.000 GB,https://download.kiwix.org/zim/wiktionary/wiktionary_en_all_maxi_2023-10.zim
Reference,Wikiversity,English,All Maxi,2021-03,2.500 GB,https://download.kiwix.org/zim/wikiversity/wikiversity_en_all_maxi_2021-03.zim
Reference,Wikibooks,English,All Maxi,2021-03,4.600 GB,https://download.kiwix.org/zim/wikibooks/wikibooks_en_all_maxi_2021-03.zim
Reference,Wikihow,English,Maxi,2023-03,51.000 GB,https://download.kiwix.org/zim/wikihow/wikihow_en_maxi_2023-03.zim
Reference,OSM Wiki,English,All Maxi,2023-05,0.910 GB,https://download.kiwix.org/zim/other/openstreetmap-wiki_en_all_maxi_2023-05.zim
Reference,Wikispecies,English,All Maxi,2023-12,0.910 GB,https://download.kiwix.org/zim/other/wikispecies_en_all_maxi_2023-12.zim
Reference,Wikipedia Medicine,English,--,2023-12,1.900 GB,https://download.kiwix.org/zim/wikipedia/wikipedia_en_medicine_2023-12.zim
Reference,WikEM (Medical,English,All Maxi,2023-12,0.043 GB,https://download.kiwix.org/zim/other/wikem_en_all_maxi_2021-02.zim)
Reference,Military Medicine,English,--,2023-12,0.080 GB,https://download.kiwix.org/zim/zimit/fas-military-medicine_en_2023-06.zim
Reference,Gutenberg Library,English,All,2023-11,74.000 GB,https://download.kiwix.org/zim/gutenberg/gutenberg_en_all_2023-11.zim
Reference,iFixit,English,All,2023-10,2.900 GB,https://download.kiwix.org/zim/ifixit/ifixit_en_all_2023-10.zim
Reference,ArchWiki,English,All,2023-10,0.029 GB,https://download.kiwix.org/zim/other/archlinux_en_all_maxi_2022-12.zim
Reference,Cheat Sheets,English,All,2022-04,7.300 GB,https://download.kiwix.org/zim/zimit/cheatography.com_en_all_2022-04.zim
Reference,Sheet Music,English,All,2023-09,3.700 GB,https://download.kiwix.org/zim/zimit/harmony-project.org_en_all_2023-09.zim
Reference,Boundless Courses,English,All,2021-03,12.000 GB,https://download.kiwix.org/zim/zimit/courses.lumenlearning.com_en_all_2021-03.zim
Reference,MDN Web Docs,English,All,2023-02,1.700 GB,https://download.kiwix.org/zim/zimit/developer.mozilla.org_en_all_2023-02.zim
Reference,Off The Grid,English,--,2023-12,0.168 GB,https://download.kiwix.org/zim/zimit/100r-off-the-grid_en_2023-12.zim
Reference,Raspberry Pi Docs,English,--,2023-01,0.133 GB,https://download.kiwix.org/zim/zimit/rapsberry_pi_docs_2023-01.zim
Reference,Army Publishing,English,All,2023-08,8.400 GB,https://download.kiwix.org/zim/zimit/armypubs_en_all_2023-08.zim
Reference,Ready.gov,English,--,2023-12,1.900 GB,https://download.kiwix.org/zim/zimit/www.ready.gov_en_2023-12.zim
Reference,Kahn Academy - US,English,All,2023-03,180.000 GB,https://download.kiwix.org/zim/other/khanacademy_en_all_2023-03.zim
Forum,3D Printing,English,All,2023-07,0.097 GB,https://download.kiwix.org/zim/stack_exchange/3dprinting.stackexchange.com_en_all_2023-07.zim
Forum,Astronomy,English,All,2023-05,0.151 GB,https://download.kiwix.org/zim/stack_exchange/astronomy.stackexchange.com_en_all_2023-05.zim
Forum,Network Eng,English,All,2023-11,0.118 GB,https://download.kiwix.org/zim/stack_exchange/networkengineering.stackexchange.com_en_all_2023-11.zim
Forum,Cooking,English,All,2023-11,0.212 GB,https://download.kiwix.org/zim/stack_exchange/cooking.stackexchange.com_en_all_2023-11.zim
Forum,Amateur Radio,English,All,2023-11,0.063 GB,https://download.kiwix.org/zim/stack_exchange/ham.stackexchange.com_en_all_2023-11.zim
Forum,Woodworking,English,All,2023-11,0.086 GB,https://download.kiwix.org/zim/stack_exchange/woodworking.stackexchange.com_en_all_2023-11.zim
Forum,Ubuntu,English,All,2023-11,2.000 GB,https://download.kiwix.org/zim/stack_exchange/askubuntu.com_en_all_2023-11.zim
Forum,Aviation,English,All,2023-05,0.375 GB,https://download.kiwix.org/zim/stack_exchange/aviation.stackexchange.com_en_all_2023-05.zim
Forum,Biology,English,All,2023-05,0.343 GB,https://download.kiwix.org/zim/stack_exchange/biology.stackexchange.com_en_all_2023-05.zim
Forum,Home Improvement,English,All,2023-08,0.951 GB,https://download.kiwix.org/zim/stack_exchange/diy.stackexchange.com_en_all_2023-08.zim
Forum,Engineering,English,All,2023-05,0.190 GB,https://download.kiwix.org/zim/stack_exchange/engineering.stackexchange.com_en_all_2023-05.zim
Forum,Gardening,English,All,2023-11,0.662 GB,https://download.kiwix.org/zim/stack_exchange/gardening.stackexchange.com_en_all_2023-11.zim
Forum,Cartography,English,All,2023-11,1.200 GB,https://download.kiwix.org/zim/stack_exchange/gis.stackexchange.com_en_all_2023-11.zim
Forum,Sys / Net Admin,English,All,2023-11,1.500 GB,https://download.kiwix.org/zim/stack_exchange/serverfault.com_en_all_2023-11.zim
Forum,Stack Overflow,English,All,2023-11,75.000 GB,https://download.kiwix.org/zim/stack_exchange/stackoverflow.com_en_all_2023-11.zim
Forum,Super User,English,All,2023-11,2.500 GB,https://download.kiwix.org/zim/stack_exchange/superuser.com_en_all_2023-11.zim
Forum,Pets,English,All,2023-11,0.078 GB,https://download.kiwix.org/zim/stack_exchange/pets.stackexchange.com_en_all_2023-11.zim
Forum,Physics,English,All,2023-11,1.400 GB,https://download.kiwix.org/zim/stack_exchange/physics.stackexchange.com_en_all_2023-11.zim
Forum,Robotics,English,All,2023-11,0.198 GB,https://download.kiwix.org/zim/stack_exchange/robotics.stackexchange.com_en_all_2023-11.zim
Forum,Space Exploration,English,All,2023-11,0.320 GB,https://download.kiwix.org/zim/stack_exchange/space.stackexchange.com_en_all_2023-11.zim
